GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Mini UPS Backend,com.miniups.exception,BusinessValidationException,102,0,0,0,18,0,8,0,8,0
Mini UPS Backend,com.miniups.exception,UserAlreadyExistsException,6,17,0,0,2,2,1,1,1,1
Mini UPS Backend,com.miniups.exception,SystemException,6,7,0,0,2,2,1,1,1,1
Mini UPS Backend,com.miniups.exception,InvalidCredentialsException,0,12,0,0,0,4,0,2,0,2
Mini UPS Backend,com.miniups.exception,ExternalServiceException,111,0,0,0,17,0,9,0,9,0
Mini UPS Backend,com.miniups.exception,ResourceNotFoundException,53,0,0,0,9,0,7,0,7,0
Mini UPS Backend,com.miniups.exception,BaseBusinessException,36,27,0,0,13,10,5,2,5,2
Mini UPS Backend,com.miniups.exception,UserNotFoundException,17,13,0,0,2,2,1,1,1,1
Mini UPS Backend,com.miniups.exception,DatabaseOperationException,146,0,0,0,22,0,10,0,10,0
Mini UPS Backend,com.miniups.exception,DuplicateResourceException,77,0,0,0,11,0,5,0,5,0
Mini UPS Backend,com.miniups,MiniUpsApplication,5,3,0,0,2,1,1,1,1,1
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnected,440,0,54,0,118,0,64,0,37,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnected.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UErr.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnect.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoPickup,478,0,64,0,122,0,70,0,38,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UFinished,683,0,102,0,172,0,94,0,43,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryLocation.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryLocation.Builder,400,0,43,0,117,0,56,0,33,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnect.Builder,830,0,97,0,230,0,101,0,51,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UTruck,683,0,102,0,172,0,94,0,43,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UTruck.Builder,634,0,71,0,184,0,82,0,44,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UInitTruck.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryMade,480,0,64,0,123,0,70,0,38,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UFinished.Builder,634,0,71,0,184,0,82,0,44,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoDeliver.Builder,835,0,99,0,232,0,102,0,51,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto,376,0,0,0,34,0,4,0,4,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryMade.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UResponses.Builder,2447,0,295,0,656,0,266,0,115,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UCommands.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoDeliver.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UErr.Builder,480,0,53,0,142,0,64,0,36,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UInitTruck.Builder,400,0,43,0,117,0,56,0,33,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UCommands,785,0,88,0,177,0,98,0,54,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UFinished.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UInitTruck,476,0,64,0,121,0,70,0,38,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UResponses,816,0,86,0,182,0,100,0,57,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UResponses.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UTruck.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnected.Builder,403,0,44,0,121,0,55,0,32,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UConnect,494,0,58,0,122,0,70,0,41,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoDeliver,501,0,60,0,124,0,71,0,41,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoPickup.Builder,400,0,43,0,117,0,56,0,33,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UGoPickup.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryLocation,478,0,64,0,122,0,70,0,38,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UDeliveryMade.Builder,400,0,43,0,117,0,56,0,33,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UQuery,397,0,48,0,104,0,60,0,36,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UErr,523,0,70,0,137,0,74,0,39,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UCommands.Builder,2014,0,237,0,543,0,221,0,99,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UQuery.new AbstractParser() {...},36,0,0,0,12,0,2,0,2,0
Mini UPS Backend,com.miniups.proto,WorldUpsProto.UQuery.Builder,323,0,34,0,96,0,47,0,29,0
Mini UPS Backend,com.miniups.validation,PasswordsMatchValidator,86,0,12,0,27,0,11,0,5,0
Mini UPS Backend,com.miniups.model.dto,AmazonMessageDto,93,0,6,0,28,0,18,0,15,0
Mini UPS Backend,com.miniups.model.dto,ShipmentCreatedDto,101,0,4,0,32,0,20,0,18,0
Mini UPS Backend,com.miniups.model.dto,UpsResponseDto,235,0,14,0,55,0,28,0,21,0
Mini UPS Backend,com.miniups.model.dto.user,CreateUserDto,127,0,12,0,29,0,21,0,15,0
Mini UPS Backend,com.miniups.model.dto.user,UserDto,307,0,38,0,81,0,54,0,35,0
Mini UPS Backend,com.miniups.model.dto.user,UpdateUserDto,229,0,30,0,58,0,46,0,31,0
Mini UPS Backend,com.miniups.model.enums,ExceptionSeverity,9,46,0,0,3,9,3,2,3,2
Mini UPS Backend,com.miniups.model.enums,AddressChangeStatus,20,32,6,0,3,7,6,2,3,2
Mini UPS Backend,com.miniups.model.enums,UserRole,24,39,6,0,4,8,7,2,4,2
Mini UPS Backend,com.miniups.model.enums,TruckStatus,33,60,12,0,4,11,10,2,4,2
Mini UPS Backend,com.miniups.model.enums,ShipmentStatus,54,81,22,0,11,14,18,2,5,2
Mini UPS Backend,com.miniups.config,OpenAPIConfig,0,40,0,0,0,11,0,2,0,2
Mini UPS Backend,com.miniups.config,WebSocketConfig,7,85,2,2,1,18,2,5,0,5
Mini UPS Backend,com.miniups.config,RedisConfig,0,39,0,0,0,12,0,3,0,3
Mini UPS Backend,com.miniups.config,HttpClientConfig,0,40,0,0,0,12,0,3,0,3
Mini UPS Backend,com.miniups.config,ExceptionMetricsConfig,342,0,24,0,80,0,28,0,16,0
Mini UPS Backend,com.miniups.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
Mini UPS Backend,com.miniups.config,GlobalExceptionHandler,423,0,26,0,73,0,38,0,25,0
Mini UPS Backend,com.miniups.config,SecurityConfig,318,0,0,0,41,0,11,0,11,0
Mini UPS Backend,com.miniups.config,RabbitMQConfig,188,0,2,0,66,0,22,0,21,0
Mini UPS Backend,com.miniups.model.dto.shipment,CreateShipmentDto,192,0,8,0,56,0,35,0,31,0
Mini UPS Backend,com.miniups.service,AdminService,1240,0,12,0,244,0,35,0,29,0
Mini UPS Backend,com.miniups.service,ShipmentService,292,0,14,0,73,0,15,0,8,0
Mini UPS Backend,com.miniups.service,TruckManagementService,558,0,34,0,121,0,34,0,15,0
Mini UPS Backend,com.miniups.service,AsyncAuditService,511,0,54,0,102,0,40,0,13,0
Mini UPS Backend,com.miniups.service,UserService,673,0,40,0,144,0,37,0,17,0
Mini UPS Backend,com.miniups.service,TokenBlacklistService,106,0,0,0,34,0,7,0,7,0
Mini UPS Backend,com.miniups.service,EventPublisherService,322,0,6,0,78,0,12,0,9,0
Mini UPS Backend,com.miniups.service,WorldSimulatorService,1837,4,192,0,476,1,142,1,44,1
Mini UPS Backend,com.miniups.service,AmazonIntegrationService,1148,0,66,0,259,0,57,0,24,0
Mini UPS Backend,com.miniups.service,AuthService,429,0,16,0,99,0,21,0,13,0
Mini UPS Backend,com.miniups.service,TrackingService,256,88,57,6,51,20,40,5,5,5
Mini UPS Backend,com.miniups.model.dto.amazon,AmazonOrderDto.ShippingAddressDto,55,0,0,0,16,0,15,0,15,0
Mini UPS Backend,com.miniups.model.dto.amazon,AmazonOrderDto,197,0,12,0,66,0,42,0,36,0
Mini UPS Backend,com.miniups.model.dto.amazon,AmazonShipmentDto,180,0,4,0,69,0,43,0,41,0
Mini UPS Backend,com.miniups.model.dto.amazon,AmazonOrderDto.OrderItemDto,72,0,0,0,20,0,14,0,14,0
Mini UPS Backend,com.miniups.model.dto.common,BaseUserRequestDto,123,0,20,0,37,0,28,0,18,0
Mini UPS Backend,com.miniups.model.dto.common,ApiResponse,101,0,0,0,35,0,17,0,17,0
Mini UPS Backend,com.miniups.model.event,NotificationPayload.NotificationType,33,0,0,0,6,0,1,0,1,0
Mini UPS Backend,com.miniups.model.event,ShipmentCreationPayload,193,0,24,0,34,0,44,0,32,0
Mini UPS Backend,com.miniups.model.event,NotificationPayload.NotificationAction,3,0,0,0,1,0,1,0,1,0
Mini UPS Backend,com.miniups.model.event,BusinessEvent,141,0,4,0,35,0,21,0,19,0
Mini UPS Backend,com.miniups.model.event,AuditLogPayload,250,0,24,0,51,0,58,0,46,0
Mini UPS Backend,com.miniups.model.event,NotificationPayload.Priority,27,0,0,0,5,0,1,0,1,0
Mini UPS Backend,com.miniups.model.event,NotificationPayload,285,0,40,0,53,0,63,0,43,0
Mini UPS Backend,com.miniups.model.entity,Shipment,201,41,6,0,68,15,43,6,40,6
Mini UPS Backend,com.miniups.model.entity,User,124,23,8,0,41,9,26,3,22,3
Mini UPS Backend,com.miniups.model.entity,ShipmentPackage,117,7,8,0,38,3,25,1,21,1
Mini UPS Backend,com.miniups.model.entity,ShipmentStatusHistory,51,6,0,0,22,3,13,1,13,1
Mini UPS Backend,com.miniups.model.entity,BaseEntity,11,20,0,0,5,8,3,6,3,6
Mini UPS Backend,com.miniups.model.entity,AddressChange,108,9,0,0,45,4,23,1,23,1
Mini UPS Backend,com.miniups.model.entity,AuditLog,241,0,26,0,46,0,53,0,40,0
Mini UPS Backend,com.miniups.model.entity,TruckLocationHistory,57,6,0,0,24,3,13,1,13,1
Mini UPS Backend,com.miniups.model.entity,Truck,130,32,2,0,41,12,26,1,25,1
Mini UPS Backend,com.miniups.security,WebhookAuthenticationFilter,226,7,36,0,60,2,23,2,5,2
Mini UPS Backend,com.miniups.security,CustomUserDetailsService.CustomUserPrincipal,45,0,0,0,13,0,9,0,9,0
Mini UPS Backend,com.miniups.security,JwtTokenProvider,210,4,14,0,70,1,16,1,9,1
Mini UPS Backend,com.miniups.security,CustomUserDetailsService,23,0,0,0,4,0,3,0,3,0
Mini UPS Backend,com.miniups.security,JwtAuthenticationEntryPoint,29,3,0,0,8,1,1,1,1,1
Mini UPS Backend,com.miniups.security,JwtAuthenticationFilter,79,3,12,0,18,1,8,1,2,1
Mini UPS Backend,com.miniups.model.dto.auth,AuthResponseDto,151,0,8,0,42,0,24,0,20,0
Mini UPS Backend,com.miniups.model.dto.auth,LoginRequestDto,42,0,4,0,13,0,10,0,8,0
Mini UPS Backend,com.miniups.model.dto.auth,PasswordChangeDto,72,0,12,0,21,0,17,0,11,0
Mini UPS Backend,com.miniups.model.dto.auth,RegisterRequestDto,23,0,0,0,11,0,3,0,3,0
Mini UPS Backend,com.miniups.service.consumer,AnalyticsConsumer,482,0,6,0,114,0,20,0,17,0
Mini UPS Backend,com.miniups.service.consumer,ShipmentCreationConsumer,469,0,12,0,106,0,18,0,12,0
Mini UPS Backend,com.miniups.service.consumer,AuditLogConsumer,245,10,18,0,67,4,13,2,4,2
Mini UPS Backend,com.miniups.service.consumer,NotificationConsumer,686,0,68,0,172,0,49,0,13,0
Mini UPS Backend,com.miniups.health,WorldSimulatorHealthIndicator,86,10,6,0,23,4,4,2,1,2
Mini UPS Backend,com.miniups.controller,TruckManagementController,324,7,26,0,78,2,21,2,8,2
Mini UPS Backend,com.miniups.controller,AmazonIntegrationController,249,0,34,0,61,0,25,0,8,0
Mini UPS Backend,com.miniups.controller,UserController,274,10,2,0,50,4,10,2,9,2
Mini UPS Backend,com.miniups.controller,TrackingController,433,0,20,0,92,0,19,0,9,0
Mini UPS Backend,com.miniups.controller,AdminController,171,10,0,0,39,4,13,2,13,2
Mini UPS Backend,com.miniups.controller,WorldSimulatorController,804,0,36,0,211,0,29,0,11,0
Mini UPS Backend,com.miniups.controller,AuthController,249,19,16,0,58,7,17,2,9,2
Mini UPS Backend,com.miniups.controller,HomeController,209,0,0,0,44,0,4,0,4,0
